origin_id,destination,total_cost,width
A,I,114.1319068,4
B,A,132.2698393,4
B,K,243.9078517,4
B,C,61.0972444,3
C,H,121.380492,3
C,D,74.5498626,4
E,F,89.6740169,10
E,D,69.0715047,10
F,G,81.7012197,10
G,D,74.0250406,3
G,H,45.7213469,3
I,J,136.9216862,4
J,V,96.3067875,7
J,K,53.301414,7
L,M,84.7160422,7
L,K,61.3463139,4
L,R,161.7392699,4
M,N,79.0393779,7
N,H,169.4553168,7
O,N,24.8637872,10
O,P,136.9005984,10
O,F,142.8413281,10
Q,P,124.7770142,10
Q,M,172.7192175,7
R,S,43.5910082,3
R,Q,68.1976094,4
S,T,81.0627041,3
T,U,46.901384,7
U,V,56.609719,7
