origin_id,destination,total_cost,width
1,167,74.9012287,4
1,180,71.6687763,3
1,257,290.7436438,5
2,3,81.6904323,4
2,122,51.583912,10
2,123,116.9733655,4
3,122,133.2743443,10
3,139,76.6823362,3
3,230,124.5199133,4
3,317,86.535805,4
4,5,54.1929566,7
4,99,117.8390264,4
4,172,122.2946377,7
5,10,48.9503009,7
5,172,176.4875944,7
5,194,116.4809858,2
6,7,73.7494511,5
6,53,41.4613178,5
6,119,130.5772298,5
7,133,6.2255305,5
7,318,79.2518919,4
8,9,91.2951261,4
8,80,92.2347006,4
8,210,70.7033292,4
9,107,115.020014,6
9,340,108.8732401,6
9,345,42.268513,4
10,153,145.1411948,7
10,194,84.1582132,2
10,399,79.6890127,7
11,257,29.7505292,5
11,327,108.1318387,4
12,16,87.4604361,4
12,358,7.1300747,5
12,369,152.0105616,4
12,394,248.7557404,10
13,18,157.6792893,5
13,43,47.0600849,4
13,353,12.1679637,5
14,15,76.681837,4
14,66,81.7714034,4
14,87,15.153067,4
15,121,89.3358063,4
15,334,58.2649349,4
15,428,33.1889887,4
16,17,33.6123477,4
16,423,96.9249754,4
17,275,128.4609928,4
17,423,117.8925978,4
18,19,80.8133689,6
18,65,84.3810953,3
18,66,82.4803435,3
19,109,76.8893009,2
19,276,105.7616254,6
20,209,14.7086071,10
20,309,126.0211446,10
20,328,23.9620762,8
20,372,151.8789417,8
21,22,36.5255388,7
21,23,4.3024152,10
21,198,11.14174,7
21,366,157.7750628,10
22,197,12.6868289,7
22,336,61.5690207,7
23,75,46.566684,10
23,198,6.8393248,7
24,25,98.8617687,10
24,196,319.6837465,10
24,274,203.8166603,3
25,238,68.0263031,10
25,274,104.9548916,10
26,27,223.8562225,10
26,301,35.2681902,10
26,361,5.5341992,4
27,72,184.8466057,10
27,229,147.4236308,4
27,363,173.124032,10
27,389,163.6134062,10
28,39,163.449331,4
28,172,26.0784646,7
28,357,77.6700569,4
29,30,69.9390317,4
29,98,81.5148245,4
29,194,66.0024651,4
29,273,78.0266427,4
30,58,76.146984,4
30,233,77.955169,4
31,32,91.7706327,7
31,151,69.8239474,7
32,83,112.9607322,5
32,198,89.4501964,7
33,34,77.444246,4
33,250,66.8118693,4
33,359,28.8289268,4
34,207,65.8181271,3
34,249,87.0426527,4
35,36,39.1090427,4
35,91,22.7651915,4
35,232,10.5616371,4
35,385,7.6512276,10
36,132,7.832028,10
36,286,337.2946946,10
36,315,142.0858746,4
36,335,89.0666567,4
37,38,61.544178,6
37,117,148.8522581,4
37,199,117.920376,6
38,76,115.3618922,6
38,111,61.5431016,6
39,242,50.7844996,8
39,357,85.779274,4
40,94,193.2115725,10
40,168,143.6804138,4
40,228,154.6501738,4
41,42,106.1461987,7
41,251,215.5857974,7
41,271,186.0980864,7
41,395,48.671202,7
42,97,100.7283137,4
42,282,161.7962896,7
42,293,83.610369,7
42,316,60.2560526,7
43,120,52.2024834,3
43,208,134.3919266,4
44,99,112.0844623,8
44,172,140.237742,8
44,178,66.1472971,6
45,46,25.5619299,6
45,319,109.8533397,6
45,426,23.4093079,6
46,192,99.1346742,6
46,376,20.8428126,6
47,48,132.2698393,4
47,222,46.9518036,4
47,383,243.9078517,4
47,410,61.0972444,3
48,86,114.1319068,4
48,147,54.3114723,4
49,50,113.6334335,7
49,183,9.0651143,7
49,187,193.0194374,3
50,75,24.3728673,5
50,272,89.9741359,7
51,52,54.9888194,3
51,211,54.3991105,3
51,403,48.3867435,3
52,89,171.971188,10
52,403,45.892818,3
53,312,68.8938795,8
53,369,110.5300776,8
53,423,38.4607948,5
54,55,39.9237048,7
54,377,42.7895225,10
55,384,268.561601,7
55,412,13.6871921,7
56,57,161.7392699,4
56,247,84.7160422,7
56,383,61.3463139,4
57,64,68.1976094,4
57,184,43.5910082,3
58,273,67.5793741,6
58,392,51.9237374,3
59,77,227.2412641,6
59,189,9.467396,6
59,406,76.5318137,6
60,68,137.0790539,6
60,111,134.9005062,6
60,375,116.0886741,10
61,174,89.6740169,10
61,379,48.7357916,10
61,410,143.6213673,10
61,429,69.0715047,10
62,63,87.7390164,3
62,74,195.9251938,3
62,143,52.8046463,3
63,110,74.1331734,3
63,356,64.9862778,3
64,210,80.5958477,3
64,247,172.7192175,7
64,345,124.7770142,10
65,66,155.7836961,3
65,215,11.535624,5
67,68,61.0646553,4
67,142,101.1618109,6
67,364,128.6641208,10
68,335,136.3474557,6
69,70,4.5508381,14
69,243,9.1503774,4
69,261,81.7127026,7
70,240,41.9872607,10
70,377,307.7993499,10
71,92,82.7483386,6
71,381,216.3835377,3
71,402,459.2760278,6
72,73,21.9096288,10
72,156,42.1970304,10
72,363,11.7225737,7
72,389,21.2331995,7
73,330,26.6172258,7
73,376,195.1209836,10
74,267,160.767487,3
