Node,x,y,Evacuees
1,98.98986309,18.78041201,22
2,98.99308565,18.79398839,29
3,98.99232149,18.79407558,32
4,98.98126959,18.78768648,91
5,98.98075778,18.78773212,36
6,98.98210217,18.78279848,29
7,98.98278258,18.78277453,16
8,98.99238776,18.78563478,20
9,98.99306066,18.78615364,17
10,98.98029396,18.78775111,37
11,98.99185224,18.78001251,24
12,98.98035817,18.78384396,95
13,98.98629684,18.78466778,37
14,98.9854236,18.78276516,19
15,98.98613425,18.78275801,18
16,98.98049554,18.78311801,44
17,98.98047422,18.78281511,76
18,98.98490164,18.78416211,48
19,98.98459422,18.78483072,47
20,98.9805113,18.789568,69
21,98.98891225,18.78144458,9
22,98.98890853,18.78111461,12
23,98.98895302,18.78144306,1
24,98.97851854,18.79439156,1922
25,98.97848104,18.79349913,104
26,98.98537914,18.78118152,45
27,98.9832565,18.78121826,38
28,98.9824685,18.78781176,66
29,98.98033315,18.78639666,27
30,98.98032748,18.78576505,54
31,98.9898432,18.78227289,50
32,98.98986628,18.78144432,34
33,98.98435449,18.79382868,39
34,98.98507564,18.79369626,51
35,98.99006368,18.79562884,4
36,98.99006034,18.79527559,31
37,98.99012763,18.79220341,159
38,98.99008314,18.7927571,77
39,98.9833614,18.78846608,105
40,98.99494433,18.78341238,129
41,98.98606508,18.79065607,127
42,98.98578339,18.78973593,72
43,98.98631811,18.78424311,30
44,98.98216552,18.78633724,66
45,98.97914304,18.7811561,31
46,98.97937995,18.7811519,9
47,98.99138596,18.79006661,94
48,98.9901468,18.79024963,137
49,98.98871661,18.78309416,33
50,98.98885604,18.78207648,31
51,98.99123482,18.7836685,20
52,98.99163525,18.78386209,36
53,98.98171911,18.78288245,18
54,98.97754538,18.78883522,374
55,98.97785996,18.78902531,47
56,98.99137507,18.78789253,115
57,98.99126927,18.7864395,38
58,98.97960558,18.78577941,47
59,98.9850336,18.78697639,37
60,98.98870836,18.79325861,186
61,98.9933156,18.78986471,18
62,98.99505201,18.79248054,183
63,98.99503922,18.7916894,73
64,98.99191602,18.7864307,43
65,98.98416599,18.78386197,23
66,98.98517405,18.78346362,46
67,98.9881871,18.79448777,141
68,98.98876624,18.79449576,146
69,98.97770865,18.78578506,10
70,98.97771024,18.78582615,157
71,98.98977494,18.79654271,679
72,98.98150369,18.78125607,2
73,98.9812963,18.78126872,15
74,98.99433923,18.79366968,102
75,98.98890251,18.78186079,18
76,98.99105777,18.79293955,89
77,98.98441614,18.78840103,42
78,98.98442351,18.78891538,38
79,98.99109431,18.78531791,25
80,98.99161404,18.78526485,15
81,98.98779019,18.78689619,16
82,98.99092677,18.78102339,27
83,98.99093621,18.78139016,67
84,98.99395169,18.79562091,4
85,98.99397701,18.79578896,258
86,98.99019057,18.78922281,240
87,98.98541857,18.78262835,28
88,98.98538646,18.78149866,1
89,98.99295456,18.78462767,30
90,98.99298793,18.78504946,6
91,98.98984799,18.79563888,5
92,98.98983393,18.79579735,29
93,98.99331399,18.78502582,16
94,98.99323204,18.78372169,61
95,98.98704673,18.78217001,12
96,98.98700875,18.78211481,28
97,98.9848311,18.78966189,29
98,98.9811039,18.78643247,22
99,98.98114816,18.78662963,35
100,98.98441036,18.7896319,94
102,98.97805384,18.79290362,252
103,98.98407226,18.79491486,69
104,98.98408253,18.79485624,39
105,98.99370071,18.79098663,14
106,98.99204159,18.78520545,22
107,98.99299333,18.7851165,1
108,98.99365346,18.79548476,7
109,98.98389318,18.78463917,22
110,98.99505954,18.7910206,113
111,98.9899856,18.79330498,118
112,98.98193848,18.7931168,162
113,98.98190082,18.79358906,49
114,98.97833338,18.77983711,222
115,98.97869256,18.77980783,5
116,98.98125951,18.79309254,63
117,98.99152632,18.79215788,65
118,98.98561486,18.79187457,105
119,98.98263509,18.7838629,33
120,98.98631249,18.78377153,30
121,98.98657192,18.78326273,14
122,98.99357126,18.79393629,16
123,98.99357808,18.79462027,29
124,98.99376817,18.78767067,4
125,98.99453474,18.7876196,124
126,98.98168245,18.79585224,445
127,98.99171779,18.79285163,23
128,98.99150234,18.7928842,34
129,98.97867462,18.77961844,153
130,98.99334227,18.78533082,7
131,98.99332607,18.78514178,3
132,98.99013463,18.79527498,43
133,98.98282794,18.78281055,32
134,98.98709154,18.78648473,51
135,98.98571656,18.78676723,69
136,98.9849308,18.79308123,94
